num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-105,대전광역시,중구, 대종로 701 , 시영아파트 상가 앞 승강장,대전광역시 중구 대종로 701 시영아파트 상가 앞 승강장,36.34114903,127.4101546
대전-중구-106,대전광역시,중구, 중앙로 167 ,나이키 앞 승강장,대전광역시 중구 중앙로 167 나이키 앞 승강장,36.32948063,127.4278718
대전-중구-107,대전광역시,중구, 중앙로 157 ,앞 승강장,대전광역시 중구 중앙로 157 앞 승강장,36.32952003,127.428016
대전-중구-108,대전광역시,중구, 중앙로 153 ,대전중앙약국 앞 승강장,대전광역시 중구 중앙로 153 대전중앙약국 앞 승강장,36.32903403,127.4101546
대전-중구-109,대전광역시,중구, 중앙로 165 ,성모피부과의원 앞 승강장,대전광역시 중구 중앙로 165 성모피부과의원 앞 승강장,36.32952223,127.4279838
대전-중구-110,대전광역시,중구, 중앙로 139 ,롯데리아 앞,대전광역시 중구 중앙로 139 롯데리아 앞,36.32846853,127.4251898
대전-중구-111,대전광역시,중구, 중앙로 133-1 ,파리바게트 앞 승강장,대전광역시 중구 중앙로 133-1 파리바게트 앞 승강장,36.32827563,127.4246855
대전-중구-112,대전광역시,중구, 중앙로 119 ,국민연금공단 앞 승강장,대전광역시 중구 중앙로 119 국민연금공단 앞 승강장,36.32761933,127.4229149
대전-중구-113,대전광역시,중구, 보문로 320-1 ,성진빌딩 앞 승강장,대전광역시 중구 보문로 320-1 성진빌딩 앞 승강장,36.33077453,127.4194384
대전-중구-114,대전광역시,중구, 보문로 293 , LSI정보기술 앞 승강장,대전광역시 중구 보문로 293 LSI정보기술 앞 승강장,36.32866133,127.4206143
대전-중구-115,대전광역시,중구, 중앙로 63 ,앞 승강장,대전광역시 중구 중앙로 63 앞 승강장,36.32428433,127.4188574
대전-중구-116,대전광역시,중구, 중앙로 45 ,센트럴뷰 105동 앞 승강장,대전광역시 중구 중앙로 45 센트럴뷰 105동 앞 승강장,36.32389003,127.4183315
대전-중구-117,대전광역시,중구, 보문로 45 ,앞 승강장,대전광역시 중구 보문로 45 앞 승강장,36.31355573,127.435864
대전-중구-118,대전광역시,중구, 대종로 290 , 앞 택시승강장,대전광역시 중구 대종로 290 앞 택시승강장,36.31237583,127.4366271
대전-중구-119,대전광역시,중구, 대종로 308 ,앞 승강장,대전광역시 중구 대종로 308 앞,36.31298943,127.4350069
대전-중구-120,대전광역시,중구, 대종로 297 ,승강장,대전광역시 중구 대종로 297 승강장,36.31268143,127.4356199
대전-중구-121,대전광역시,중구, 대종로 373 ,한밭운동장 앞 승강장,대전광역시 중구 대종로 373 한밭운동장 앞 승강장,36.31704123,127.4326275
대전-중구-122,대전광역시,중구, 보문로 92, 앞 승강장,대전광역시 중구 보문로 92 앞 승강장,36.31350103,127.4308489
대전-중구-123,대전광역시,중구, 대종로 227 ,앞 승강장,대전광역시 중구 대종로 227 앞 승강장,36.30942063,127.4421926
대전-중구-124,대전광역시,중구, 대종로 143 ,앞 승강장,대전광역시 중구 대종로 143 앞 승강장,36.30471703,127.4493927
대전-중구-125,대전광역시,중구, 대종로 66 , 솔빛아파트 앞 승강장,대전광역시 중구 대종로 66 솔빛아파트 앞 승강장,36.29899723,127.4545231
대전-중구-126,대전광역시,중구, 유천로 45 ,앞 승강장,대전광역시 중구 유천로 45 앞 승강장,36.31667843,127.3980529
대전-중구-127,대전광역시,중구, 문화로 117 ,앞 승강장,대전광역시 중구 문화로 117 앞 승강장,36.31261413,127.3986231
대전-중구-128,대전광역시,중구, 계백로 1552 ,자연나라수족관 앞 승강장,대전광역시 중구 계백로 1552 자연나라수족관 앞 승강장,36.31711533,127.3926373
대전-중구-129,대전광역시,중구, 계백로 1588 ,엘림빌딩 앞 승강장,대전광역시 중구 계백로 1588 엘림빌딩 앞 승강장,36.31812533,127.3965373
대전-중구-130,대전광역시,중구, 태평로 71  ,삼부프라자 앞 승강장,대전광역시 중구 태평로 71 삼부프라자 앞 승강장,36.32330643,127.3938353
대전-중구-131,대전광역시,중구, 태평로 80,삼부1단지아파트 앞 승강장,대전광역시 중구 태평로 80 삼부1단지아파트 앞 승강장,36.32274653,127.3936338
대전-중구-132,대전광역시,중구, 태평로 35 , 버드내아파트 215동 앞 승강장,대전광역시 중구 태평로 35 버드내아파트 215동 앞 승강장,36.32195533,127.3902045
대전-중구-133,대전광역시,중구, 태평로 15 , 버드내아파트 101동 앞 승강장,대전광역시 중구 태평로 15 버드내아파트 101동 앞 승강장,36.31594873,127.3876272
대전-중구-134,대전광역시,중구, 동서대로 1218 ,앞 태평크리닉 빌딩 앞,대전광역시 중구 동서대로 1218 앞 태평크리닉 빌딩 앞,36.32564233,127.395045
대전-중구-135,대전광역시,중구, 평촌로 93 ,쌍용예가아파트 109동 옆 승강장,대전광역시 중구 평촌로 93 쌍용예가아파트 109동 옆 승강장,36.32263553,127.3981557
대전-중구-136,대전광역시,중구, 수침로 138 ,유등마을아파트 112동 옆 승강장,대전광역시 중구 수침로 138 유등마을아파트 112동 옆 승강장,36.33074023,127.398096
대전-중구-137,대전광역시,중구, 계룡로 865 ,앞 승강장,대전광역시 중구 계룡로 865 앞 승강장,36.32405263,127.4106977
대전-중구-138,대전광역시,중구, 선화로 12-1 , 앞 승강장,대전광역시 중구 선화로 12-1 앞 승강장,36.32510743,127.4110352
대전-중구-139,대전광역시,중구, 동서대로 1330 ,앞 승강장,대전광역시 중구 동서대로 1330 앞 승강장,36.32908783,127.407009
대전-중구-140,대전광역시,중구, 동서대로 1329 ,앞 승강장,대전광역시 중구 동서대로 1329 앞 승강장,36.32924213,127.4069874
대전-중구-141,대전광역시,중구, 동서대로 1304번길 33 ,앞 승강장,대전광역시 중구 동서대로 1304번길 33 앞 승강장,36.32733433,127.4064965
대전-중구-142,대전광역시,중구, 계룡로 832 ,앞 승강장,대전광역시 중구 계룡로 832 앞 승강장,36.32615133,127.4079404
대전-중구-143,대전광역시,중구, 계룡로 846 ,앞 승강장,대전광역시 중구 계룡로 846 앞 승강장,36.32496703,127.4093826
대전-중구-144,대전광역시,중구, 계백로 1719 ,앞 승강장,대전광역시 중구 계백로 1719 앞 승강장,36.32191893,127.4104845
대전-중구-145,대전광역시,중구, 계백로 1685 , 앞 승강장,대전광역시 중구 계백로 1685 앞 승강장,36.32089973,127.4068766
대전-중구-146,대전광역시,중구, 동서대로 1299 ,앞 승강장,대전광역시 중구 동서대로 1299 앞 승강장,36.32832303,127.4039735
대전-중구-147,대전광역시,중구, 오류로 19 ,서대전역 앞,대전광역시 중구 오류로 19 서대전역 앞,36.32238673,127.4047282
대전-중구-148,대전광역시,중구, 계룡로 770, LG유플러스사옥 앞 승강장,대전광역시 중구 계룡로 770 LG유플러스사옥 앞 승강장,36.33037753,127.4027052
